username,repo_name,stars,repo_url
jwasham,coding-interview-university,184000,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,135000,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,113000,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,112000,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,55400,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,52900,https://github.com/kdn251/interviews
azl397985856,leetcode,43000,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,35000,https://github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26200,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,23100,https://github.com/donnemartin/interactive-coding-challenges
keon,algorithms,19400,https://github.com/keon/algorithms
huihut,interview,19300,https://github.com/huihut/interview
halfrost,LeetCode-Go,18900,https://github.com/halfrost/LeetCode-Go
trekhleb,homemade-machine-learning,18000,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,16300,https://github.com/mxgmn/WaveFunctionCollapse
TheAlgorithms,C-Plus-Plus,13400,https://github.com/TheAlgorithms/C-Plus-Plus
youngyangyang04,leetcode-master,12700,https://github.com/youngyangyang04/leetcode-master
AtsushiSakai,PythonRobotics,12700,https://github.com/AtsushiSakai/PythonRobotics
OpenGenus,cosmos,12600,https://github.com/OpenGenus/cosmos
greyireland,algorithm-pattern,12200,https://github.com/greyireland/algorithm-pattern
TheAlgorithms,Javascript,11500,https://github.com/TheAlgorithms/Javascript
apachecn,apachecn-algo-zh,10400,https://github.com/apachecn/apachecn-algo-zh
williamfiset,Algorithms,10200,https://github.com/williamfiset/Algorithms
halfrost,Halfrost-Field,9200,https://github.com/halfrost/Halfrost-Field
lnishan,awesome-competitive-programming,8500,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8200,https://github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7200,https://github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,6800,https://github.com/mgechev/javascript-algorithms
LeetCode-OpenSource,vscode-leetcode,6600,https://github.com/LeetCode-OpenSource/vscode-leetcode
OlafenwaMoses,ImageAI,6300,https://github.com/OlafenwaMoses/ImageAI
