username,repo_name,stars,repo_url
CyC2018,CS-Notes,135000,https://github.com/CyC2018/CS-Notes
tuvtran,project-based-learning,52300,https://github.com/tuvtran/project-based-learning
azl397985856,leetcode,43000,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,37000,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,32299,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,22300,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,21300,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,19300,https://github.com/huihut/interview
yuzu-emu,yuzu,15000,https://github.com/yuzu-emu/yuzu
changkun,modern-cpp-tutorial,14000,https://github.com/changkun/modern-cpp-tutorial
TheAlgorithms,C-Plus-Plus,13400,https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,vcpkg,13200,https://github.com/microsoft/vcpkg
youngyangyang04,leetcode-master,12700,https://github.com/youngyangyang04/leetcode-master
facebook,infer,12400,https://github.com/facebook/infer
AnthonyCalandra,modern-cpp-features,12200,https://github.com/AnthonyCalandra/modern-cpp-features
gabime,spdlog,12000,https://github.com/gabime/spdlog
CoatiSoftware,Sourcetrail,11600,https://github.com/CoatiSoftware/Sourcetrail
google,tink,11400,https://github.com/google/tink
ethereum,solidity,11300,https://github.com/ethereum/solidity
Qv2ray,Qv2ray,11200,https://github.com/Qv2ray/Qv2ray
ssloy,tinyrenderer,10900,https://github.com/ssloy/tinyrenderer
SFTtech,openage,10400,https://github.com/SFTtech/openage
antlr,antlr4,10200,https://github.com/antlr/antlr4
kyleneideck,BackgroundMusic,9800,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,9600,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,9000,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,8600,https://github.com/hmemcpy/milewski-ctfp-pdf
codota,TabNine,8400,https://github.com/codota/TabNine
nasa,fprime,8300,https://github.com/nasa/fprime
rigtorp,awesome-modern-cpp,8100,https://github.com/rigtorp/awesome-modern-cpp
