username,repo_name,stars,repo_url
Genymobile,scrcpy,51600,https://github.com/Genymobile/scrcpy
neovim,neovim,45400,https://github.com/neovim/neovim
git,git,38600,https://github.com/git/git
fffaraz,awesome-cpp,32299,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,29800,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,26400,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,25400,https://github.com/FFmpeg/FFmpeg
vim,vim,24200,https://github.com/vim/vim
ggreer,the_silver_searcher,22200,https://github.com/ggreer/the_silver_searcher
curl,curl,21200,https://github.com/curl/curl
huihut,interview,19300,https://github.com/huihut/interview
ruby,ruby,18300,https://github.com/ruby/ruby
google,flatbuffers,16500,https://github.com/google/flatbuffers
oracle,graal,15500,https://github.com/oracle/graal
mpv-player,mpv,15400,https://github.com/mpv-player/mpv
pbatard,rufus,15300,https://github.com/pbatard/rufus
radareorg,radare2,14600,https://github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14500,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,13400,https://github.com/allinurl/goaccess
vurtun,nuklear,13300,https://github.com/vurtun/nuklear
microsoft,vcpkg,13200,https://github.com/microsoft/vcpkg
facebook,infer,12400,https://github.com/facebook/infer
jarun,nnn,11800,https://github.com/jarun/nnn
kovidgoyal,kitty,11700,https://github.com/kovidgoyal/kitty
CoatiSoftware,Sourcetrail,11600,https://github.com/CoatiSoftware/Sourcetrail
s-matyukevich,raspberry-pi-os,10400,https://github.com/s-matyukevich/raspberry-pi-os
jonas,tig,10100,https://github.com/jonas/tig
hashcat,hashcat,10100,https://github.com/hashcat/hashcat
qmk,qmk_firmware,10000,https://github.com/qmk/qmk_firmware
TheAlgorithms,C,9700,https://github.com/TheAlgorithms/C
