username,repo_name,stars,repo_url
electron,electron,94300,https://github.com/electron/electron
FiloSottile,mkcert,30800,https://github.com/FiloSottile/mkcert
microsoft,playwright,25600,https://github.com/microsoft/playwright
ovity,octotree,21400,https://github.com/ovity/octotree
segmentio,nightmare,18900,https://github.com/segmentio/nightmare
iamadamdev,bypass-paywalls-chrome,16800,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,16300,https://github.com/jaywcjlove/linux-command
prisma-archive,chromeless,13300,https://github.com/prisma-archive/chromeless
checkly,headless-recorder,13100,https://github.com/checkly/headless-recorder
google,WebFundamentals,12100,https://github.com/google/WebFundamentals
casesandberg,react-color,9900,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,8500,https://github.com/GoogleChrome/chrome-extensions-samples
uBlock-LLC,uBlock,8000,https://github.com/uBlock-LLC/uBlock
crimx,ext-saladict,7500,https://github.com/crimx/ext-saladict
chromedp,chromedp,6500,https://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6400,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,5600,https://github.com/kangvcar/InfoSpider
MetaMask,metamask-extension,5100,https://github.com/MetaMask/metamask-extension
yujiosaka,headless-chrome-crawler,5000,https://github.com/yujiosaka/headless-chrome-crawler
Kenshin,simpread,4800,https://github.com/Kenshin/simpread
firefox-devtools,debugger,4600,https://github.com/firefox-devtools/debugger
MontFerret,ferret,4600,https://github.com/MontFerret/ferret
burtonator,polar-bookshelf,4300,https://github.com/burtonator/polar-bookshelf
nieweidong,fetool,4300,https://github.com/nieweidong/fetool
mjswensen,themer,4300,https://github.com/mjswensen/themer
brookhong,Surfingkeys,3600,https://github.com/brookhong/Surfingkeys
bilibili-helper,bilibili-helper-o,3600,https://github.com/bilibili-helper/bilibili-helper-o
gildas-lormeau,SingleFile,3400,https://github.com/gildas-lormeau/SingleFile
melonjs,melonJS,3400,https://github.com/melonjs/melonJS
jonasstrehle,supercookie,3400,https://github.com/jonasstrehle/supercookie
