username,repo_name,stars,repo_url
httpie,httpie,51300,https://github.com/httpie/httpie
junegunn,fzf,37800,https://github.com/junegunn/fzf
sharkdp,bat,28100,https://github.com/sharkdp/bat
wagoodman,dive,26700,https://github.com/wagoodman/dive
chubin,cheat.sh,26400,https://github.com/chubin/cheat.sh
BurntSushi,ripgrep,26300,https://github.com/BurntSushi/ripgrep
sherlock-project,sherlock,26000,https://github.com/sherlock-project/sherlock
angular,angular-cli,24700,https://github.com/angular/angular-cli
cli,cli,24000,https://github.com/cli/cli
spf13,cobra,22300,https://github.com/spf13/cobra
alebcay,awesome-shell,21700,https://github.com/alebcay/awesome-shell
jesseduffield,lazygit,20400,https://github.com/jesseduffield/lazygit
google,python-fire,19800,https://github.com/google/python-fire
avajs,ava,19100,https://github.com/avajs/ava
tqdm,tqdm,18800,https://github.com/tqdm/tqdm
vercel,pkg,18400,https://github.com/vercel/pkg
sharkdp,fd,17900,https://github.com/sharkdp/fd
chalk,chalk,16700,https://github.com/chalk/chalk
n8n-io,n8n,16500,https://github.com/n8n-io/n8n
vadimdemedes,ink,16500,https://github.com/vadimdemedes/ink
svg,svgo,16400,https://github.com/svg/svgo
urfave,cli,16100,https://github.com/urfave/cli
gpakosz,.tmux,14500,https://github.com/gpakosz/.tmux
FormidableLabs,webpack-dashboard,13800,https://github.com/FormidableLabs/webpack-dashboard
allinurl,goaccess,13400,https://github.com/allinurl/goaccess
infinitered,ignite,12700,https://github.com/infinitered/ignite
pomber,git-history,12600,https://github.com/pomber/git-history
jarun,nnn,11800,https://github.com/jarun/nnn
ibraheemdev,modern-unix,11300,https://github.com/ibraheemdev/modern-unix
asdf-vm,asdf,11200,https://github.com/asdf-vm/asdf
